transaction_id,account_id,transaction_type,amount,currency,status
T1001,AT123,DEPOSIT,500.00,EUR,COMPLETED
T1002,DE456,DEPOSIT,1000.00,EUR,COMPLETED
T1003,AT123,WITHDRAW,150.00,EUR,COMPLETED
T1004,CH789,DEPOSIT,3000.00,CHF,COMPLETED
T1005,DE456,WITHDRAW,250.00,EUR,FAILED
T1006,AT123,PAYMENT,45.50,EUR,COMPLETED
T1007,DE456,WITHDRAW,50.00,EUR,COMPLETED
T1008,AT123,DEPOSIT,200.00,EUR,COMPLETED
T1009,CH789,WITHDRAW,1000.00,CHF,COMPLETED
T1010,DE456,PAYMENT,80.00,EUR,COMPLETED
T1011,AT123,DEPOSIT,50.00,USD,COMPLETED
T1012,DE456,DEPOSIT,2000.00,EUR,FAILED
T1013,CH789,PAYMENT,500.00,CHF,COMPLETED
T1014,AT123,WITHDRAW,100.00,USD,COMPLETED
